City,Date,Confirmed,Deaths
American Samoa,1/22/20,0,0
Guam,1/22/20,0,0
Northern Mariana Islands,1/22/20,0,0
Puerto Rico,1/22/20,0,0
Virgin Islands,1/22/20,0,0
Alabama,1/22/20,0,0
Alaska,1/22/20,0,0
Arizona,1/22/20,0,0
Arkansas,1/22/20,0,0
California,1/22/20,0,0
Colorado,1/22/20,0,0
Connecticut,1/22/20,0,0
Delaware,1/22/20,0,0
District of Columbia,1/22/20,0,0
Florida,1/22/20,0,0
Georgia,1/22/20,0,0
Hawaii,1/22/20,0,0
Idaho,1/22/20,0,0
Illinois,1/22/20,0,0
Indiana,1/22/20,0,0
Iowa,1/22/20,0,0
Kansas,1/22/20,0,0
Kentucky,1/22/20,0,0
Louisiana,1/22/20,0,0
Maine,1/22/20,0,0
Maryland,1/22/20,0,0
Massachusetts,1/22/20,0,0
Michigan,1/22/20,0,0
Minnesota,1/22/20,0,0
Mississippi,1/22/20,0,0
Missouri,1/22/20,0,0
Montana,1/22/20,0,0
Nebraska,1/22/20,0,0
Nevada,1/22/20,0,0
New Hampshire,1/22/20,0,0
New Jersey,1/22/20,0,0
New Mexico,1/22/20,0,0
New York,1/22/20,0,0
North Carolina,1/22/20,0,0
North Dakota,1/22/20,0,0
Ohio,1/22/20,0,0
Oklahoma,1/22/20,0,0
Oregon,1/22/20,0,0
Pennsylvania,1/22/20,0,0
Rhode Island,1/22/20,0,0
South Carolina,1/22/20,0,0
South Dakota,1/22/20,0,0
Tennessee,1/22/20,0,0
Texas,1/22/20,0,0
Utah,1/22/20,0,0
Vermont,1/22/20,0,0
Virginia,1/22/20,0,0
Washington,1/22/20,0,0
West Virginia,1/22/20,0,0
Wisconsin,1/22/20,0,0
Wyoming,1/22/20,0,0
Diamond Princess,1/22/20,0,0
Grand Princess,1/22/20,0,0
American Samoa,1/23/20,0,0
Guam,1/23/20,0,0
Northern Mariana Islands,1/23/20,0,0
Puerto Rico,1/23/20,0,0
Virgin Islands,1/23/20,0,0
Alabama,1/23/20,0,0
Alaska,1/23/20,0,0
Arizona,1/23/20,0,0
Arkansas,1/23/20,0,0
California,1/23/20,0,0
Colorado,1/23/20,0,0
Connecticut,1/23/20,0,0
Delaware,1/23/20,0,0
District of Columbia,1/23/20,0,0
Florida,1/23/20,0,0
Georgia,1/23/20,0,0
Hawaii,1/23/20,0,0
Idaho,1/23/20,0,0
Illinois,1/23/20,0,0
Indiana,1/23/20,0,0
Iowa,1/23/20,0,0
Kansas,1/23/20,0,0
Kentucky,1/23/20,0,0
Louisiana,1/23/20,0,0
Maine,1/23/20,0,0
Maryland,1/23/20,0,0
Massachusetts,1/23/20,0,0
Michigan,1/23/20,0,0
Minnesota,1/23/20,0,0
Mississippi,1/23/20,0,0
Missouri,1/23/20,0,0
Montana,1/23/20,0,0
Nebraska,1/23/20,0,0
Nevada,1/23/20,0,0
New Hampshire,1/23/20,0,0
New Jersey,1/23/20,0,0
New Mexico,1/23/20,0,0
New York,1/23/20,0,0
North Carolina,1/23/20,0,0
North Dakota,1/23/20,0,0
Ohio,1/23/20,0,0
Oklahoma,1/23/20,0,0
Oregon,1/23/20,0,0
Pennsylvania,1/23/20,0,0
Rhode Island,1/23/20,0,0
South Carolina,1/23/20,0,0
South Dakota,1/23/20,0,0
Tennessee,1/23/20,0,0
Texas,1/23/20,0,0
Utah,1/23/20,0,0
Vermont,1/23/20,0,0
Virginia,1/23/20,0,0
Washington,1/23/20,0,0
West Virginia,1/23/20,0,0
Wisconsin,1/23/20,0,0
Wyoming,1/23/20,0,0
Diamond Princess,1/23/20,0,0
Grand Princess,1/23/20,0,0
American Samoa,1/24/20,0,0
Guam,1/24/20,0,0
Northern Mariana Islands,1/24/20,0,0
Puerto Rico,1/24/20,0,0
Virgin Islands,1/24/20,0,0
Alabama,1/24/20,0,0
Alaska,1/24/20,0,0
Arizona,1/24/20,0,0
Arkansas,1/24/20,0,0
California,1/24/20,0,0
Colorado,1/24/20,0,0
Connecticut,1/24/20,0,0
Delaware,1/24/20,0,0
District of Columbia,1/24/20,0,0
Florida,1/24/20,0,0
Georgia,1/24/20,0,0
Hawaii,1/24/20,0,0
Idaho,1/24/20,0,0
Illinois,1/24/20,0,0
Indiana,1/24/20,0,0
Iowa,1/24/20,0,0
Kansas,1/24/20,0,0
Kentucky,1/24/20,0,0
